ds,y
7/1/2015,754
7/2/2015,662
7/3/2015,565
7/4/2015,378
7/5/2015,401
7/6/2015,619
7/7/2015,686
7/8/2015,567
7/9/2015,528
7/10/2015,398
7/11/2015,311
7/12/2015,392
7/13/2015,693
7/14/2015,678
7/15/2015,687
7/16/2015,486
7/17/2015,415
7/18/2015,342
7/19/2015,401
7/20/2015,619
7/21/2015,624
7/22/2015,650
7/23/2015,605
7/24/2015,432
7/25/2015,311
7/26/2015,364
7/27/2015,531
7/28/2015,539
7/29/2015,590
7/30/2015,498
7/31/2015,353
8/1/2015,260
8/2/2015,300
8/3/2015,440
8/4/2015,469
8/5/2015,526
8/6/2015,512
8/7/2015,406
8/8/2015,304
8/9/2015,313
8/10/2015,473
8/11/2015,651
8/12/2015,678
8/13/2015,576
8/14/2015,434
8/15/2015,308
8/16/2015,370
8/17/2015,558
8/18/2015,593
8/19/2015,609
8/20/2015,473
8/21/2015,441
8/22/2015,299
8/23/2015,346
8/24/2015,591
8/25/2015,737
8/26/2015,713
8/27/2015,679
8/28/2015,474
8/29/2015,268
8/30/2015,298
8/31/2015,757
9/1/2015,594
9/2/2015,712
9/3/2015,563
9/4/2015,444
9/5/2015,310
9/6/2015,399
9/7/2015,543
9/8/2015,613
9/9/2015,625
9/10/2015,625
9/11/2015,476
9/12/2015,388
9/13/2015,492
9/14/2015,664
9/15/2015,670
9/16/2015,577
9/17/2015,535
9/18/2015,467
9/19/2015,294
9/20/2015,440
9/21/2015,565
9/22/2015,575
9/23/2015,525
9/24/2015,477
9/25/2015,405
9/26/2015,258
9/27/2015,307
9/28/2015,628
9/29/2015,550
9/30/2015,573
10/1/2015,579
10/2/2015,426
10/3/2015,333
10/4/2015,337
10/5/2015,514
10/6/2015,643
10/7/2015,659
10/8/2015,637
10/9/2015,441
10/10/2015,288
10/11/2015,335
10/12/2015,484
10/13/2015,619
10/14/2015,558
10/15/2015,656
10/16/2015,544
10/17/2015,336
10/18/2015,353
10/19/2015,561
10/20/2015,535
10/21/2015,507
10/22/2015,441
10/23/2015,394
10/24/2015,306
10/25/2015,294
10/26/2015,459
10/27/2015,455
10/28/2015,504
10/29/2015,445
10/30/2015,387
10/31/2015,243
11/1/2015,287
11/2/2015,420
11/3/2015,563
11/4/2015,765
11/5/2015,810
11/6/2015,602
11/7/2015,425
11/8/2015,636
11/9/2015,952
11/10/2015,1223
11/11/2015,1264
11/12/2015,1121
11/13/2015,700
11/14/2015,464
11/15/2015,845
11/16/2015,1047
11/17/2015,1101
11/18/2015,1056
11/19/2015,955
11/20/2015,804
11/21/2015,530
11/22/2015,818
11/23/2015,983
11/24/2015,927
11/25/2015,1026
11/26/2015,774
11/27/2015,519
11/28/2015,417
11/29/2015,435
11/30/2015,710
12/1/2015,719
12/2/2015,700
12/3/2015,709
12/4/2015,517
12/5/2015,406
12/6/2015,476
12/7/2015,719
12/8/2015,753
12/9/2015,766
12/10/2015,703
12/11/2015,537
12/12/2015,380
12/13/2015,412
12/14/2015,614
12/15/2015,560
12/16/2015,562
12/17/2015,525
12/18/2015,436
12/19/2015,217
12/20/2015,250
12/21/2015,321
12/22/2015,329
12/23/2015,250
12/24/2015,214
12/25/2015,162
12/26/2015,147
12/27/2015,186
12/28/2015,252
12/29/2015,354
12/30/2015,317
12/31/2015,237
1/1/2016,190
1/2/2016,254
1/3/2016,299
1/4/2016,544
1/5/2016,667
1/6/2016,732
1/7/2016,661
1/8/2016,525
1/9/2016,401
1/10/2016,468
1/11/2016,768
1/12/2016,755
1/13/2016,869
1/14/2016,730
1/15/2016,602
1/16/2016,369
1/17/2016,510
1/18/2016,753
1/19/2016,808
1/20/2016,808
1/21/2016,677
1/22/2016,627
1/23/2016,429
1/24/2016,460
1/25/2016,665
1/26/2016,699
1/27/2016,700
1/28/2016,669
1/29/2016,616
1/30/2016,412
1/31/2016,421
2/1/2016,622
2/2/2016,614
2/3/2016,683
2/4/2016,575
2/5/2016,520
2/6/2016,326
2/7/2016,314
2/8/2016,545
2/9/2016,542
2/10/2016,607
2/11/2016,609
2/12/2016,452
2/13/2016,294
2/14/2016,337
2/15/2016,660
2/16/2016,559
2/17/2016,604
2/18/2016,599
2/19/2016,472
2/20/2016,363
2/21/2016,412
2/22/2016,558
2/23/2016,602
2/24/2016,522
2/25/2016,478
2/26/2016,442
2/27/2016,349
2/28/2016,381
2/29/2016,615
3/1/2016,646
3/2/2016,691
3/3/2016,635
3/4/2016,442
3/5/2016,297
3/6/2016,326
3/7/2016,541
3/8/2016,489
3/9/2016,485
3/10/2016,437
3/11/2016,379
3/12/2016,275
3/13/2016,347
3/14/2016,484
3/15/2016,561
3/16/2016,494
3/17/2016,461
3/18/2016,421
3/19/2016,250
3/20/2016,360
3/21/2016,520
3/22/2016,474
3/23/2016,463
3/24/2016,410
3/25/2016,286
3/26/2016,270
3/27/2016,382
3/28/2016,447
3/29/2016,517
3/30/2016,503
3/31/2016,439
4/1/2016,365
4/2/2016,280
4/3/2016,329
4/4/2016,481
4/5/2016,520
4/6/2016,468
4/7/2016,531
4/8/2016,422
4/9/2016,231
4/10/2016,324
4/11/2016,522
4/12/2016,575
4/13/2016,546
4/14/2016,488
4/15/2016,421
4/16/2016,252
4/17/2016,288
4/18/2016,558
4/19/2016,608
4/20/2016,482
4/21/2016,486
4/22/2016,399
4/23/2016,321
4/24/2016,299
4/25/2016,558
4/26/2016,524
4/27/2016,547
4/28/2016,552
4/29/2016,528
4/30/2016,271
5/1/2016,284
5/2/2016,471
5/3/2016,623
5/4/2016,565
5/5/2016,434
5/6/2016,373
5/7/2016,253
5/8/2016,235
5/9/2016,506
5/10/2016,444
5/11/2016,472
5/12/2016,445
